Remove Stop Words,Stemming,Weighting Scheme,Precision,Recall,F-Measure,MAP,DCG
True,False,lnc-inc,0.0,0.0,0,0,0
True,False,lnc-inc,0.0,0.0,0,0,0
True,False,lnc-inc,0.0,0.0,0,0,0
True,False,lnc-inc,0.1,0.18181818181818182,0.12903225806451613,0.016594516594516592,0.4913669381764537
True,False,lnc-inc,0.1,0.024691358024691357,0.039603960396039604,0.05625,1.2446505421182261
True,False,lnc-inc,0.2,0.027777777777777776,0.048780487804878044,0.10392857142857141,1.964836682686101
True,False,lnc-inc,0.1,0.08,0.08888888888888889,0.009545454545454546,0.5066131943480828
True,False,lnc-inc,0.05,0.018867924528301886,0.027397260273972605,0.004166666666666667,0.27023815442731974
True,False,lnc-inc,0.1,0.041666666666666664,0.058823529411764705,0.010818713450292398,0.5324082088237403
True,False,lnc-inc,0.3,0.11538461538461539,0.16666666666666669,0.22999999999999998,3.03451763582084
True,False,lnc-inc,0.1,0.06060606060606061,0.07547169811320756,0.012698412698412698,0.5569880204737967
True,False,lnc-inc,0.15,0.05357142857142857,0.07894736842105263,0.028333333333333332,0.9113265469190678
True,False,lnc-inc,0.2,0.034782608695652174,0.05925925925925926,0.04981203007518796,1.2219487292650957
True,False,lnc-inc,0.1,0.03333333333333333,0.05,0.009728506787330317,0.5024620016053251
True,False,lnc-inc,0.1,0.041666666666666664,0.058823529411764705,0.03166666666666666,0.8809297535714575
True,False,lnc-inc,0.1,0.014925373134328358,0.025974025974025972,0.02777777777777778,0.8010299956639813
True,False,lnc-inc,0.15,0.04918032786885246,0.07407407407407407,0.02986111111111111,0.8867330268770297
True,False,lnc-inc,0.1,0.017094017094017096,0.029197080291970805,0.010416666666666666,0.5148886965455458
True,False,lnc-inc,0.0,0.0,0,0,0
True,False,lnc-inc,0.1,0.05263157894736842,0.06896551724137931,0.05769230769230769,1.2626495350371936
True,False,lnc-inc,0.15,0.06976744186046512,0.09523809523809525,0.02089285714285714,0.8056541241485123
True,False,lnc-inc,0.0,0,0,0,0
True,False,lnc-inc,0.2,0.1,0.13333333333333333,0.06916267942583733,1.528103719616888
True,False,lnc-inc,0.0,0,0,0,0
True,False,lnc-inc,0.1,0.1111111111111111,0.10526315789473685,0.009645061728395061,0.4800594554848643
True,False,lnc-inc,0.0,0,0,0,0
True,False,lnc-inc,0.15,0.2727272727272727,0.19354838709677416,0.037987012987012986,0.8056541241485123
True,False,lnc-inc,0.0,0.0,0,0,0
True,False,lnc-inc,0.0,0.0,0,0,0
True,False,lnc-inc,0.1,0.012903225806451613,0.022857142857142854,0.01,0.5167350750148408
True,False,lnc-inc,0.2,0.05194805194805195,0.08247422680412371,0.03379020467836257,1.047296905369286
True,False,lnc-inc,0.05,0.008620689655172414,0.014705882352941175,0.004166666666666667,0.27023815442731974
True,False,lnc-inc,0.0,0,0,0,0
True,False,lnc-inc,0.0,0,0,0,0
True,False,lnc-inc,0.1,0.058823529411764705,0.07407407407407408,0.014583333333333332,0.6008577292262482
True,False,lnc-inc,0.45,0.10112359550561797,0.1651376146788991,0.21521687419907232,3.240409051414309
True,False,lnc-inc,0.0,0,0,0,0
True,False,lnc-inc,0.0,0.0,0,0,0
True,False,lnc-inc,0.0,0,0,0,0
True,False,lnc-inc,0.1,0.0392156862745098,0.05633802816901408,0.03166666666666666,0.8809297535714575
True,False,lnc-inc,0.0,0.0,0,0,0
True,False,lnc-inc,0.0,0.0,0,0,0
True,False,lnc-inc,0.05,0.05555555555555555,0.052631578947368425,0.0030864197530864196,0.23540891336663824
False,True,lnc-inc,0.25,0.10869565217391304,0.15151515151515152,0.09802350427350429,1.8751296368344113
False,True,lnc-inc,0.05,0.038461538461538464,0.043478260869565216,0.003125,0.24465054211822604
